,Product,Category,Ingredients
5401,"Eos Smooth Lip Balm, Pineapple Passionfruit, Strawberry Peach, Watermelon",Lip Balm,PINEAPPLE PASSIONFRUITI WATERMELON FROS I COCONUT MILK HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX/CIRE D'ABEILLE  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  FLAVOR (AROMA)  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  FOENICULUM VULGARE (FENNEL) OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL  STEVIA REBAUDIANA LEAF/STEM EXTRACT  TOCOPHEROL  GLYCINE SOJA (SOYBEAN) OIL. STRAWBERRY PEACH : HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX/CIRE D'ABEILLE  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  FRAGRANCE (PARFUM)  COPERN CIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  FOENICULUM VULGARE (FENNEL) OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL  STEVIA REBAUDIANA LEAF/STEM EXTRACT  TOCOPHEROL  GLYCINE SOJA (SOYBEAN) OIL
5402,Chap Stick Sugar Cookie Lip Care (2020 formulation) Rating,Lip Balm,PETROLATUM  PARAFFIN  MINERAL OIL  OCTYLDODECANOL  BIS-DIGLYCERYL POLYACYLADIPATE-2  ARACHIDYL PROPIONATE  PHENYL TRIMETHICONE  BEESWAX  CAPRYLIC/CAPRIC TRIGLYCERIDE  FLAVOR  COPERNICIA CERIFERA (CARNAUBA) WAX  ISOPROPYL MYRISTATE  CETYL ALCOHOL  BENZYL BENZOATE  TRIACETIN  SACCHARIN
5403,"First Street Foaming Hand Soap, Lemon Citrus Scented (2020 formulation)",Liquid Hand Soap,WATER  SODIUM LAURETH SULFATE  COCAMIDOPROPYL BETAINE  GLYCERINE  FRAGRANCE  ISOTHIAZOLINONES  YELLOW 5.
5404,"Evolution of Smooth Organic 100% Natural Shea Lip Balm, Chamomile Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL*  BEESWAXCIRE D'ABEILLE*  COCOS NUCIFERA (COCONUT) OIL*  BUTYROSPERMUM PARKII (SHEA) BUTTER*  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL*  FLAVOR (AROMA)  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA*  FOENICULUM VULGARE (FENNEL) OIL*  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL*  TOCOPHEROL  STEVIA REBAUDIANA LEAF/STEM EXTRACT*  CITRAL+  CITRONELLOL+  GERANIOL+  LIMONENE+  LINALOOL+.
5405,"Eos, 100% Natural Super Soft Shea Lip Balm, Strawberry Peach Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  BEESWAX/CIRE D'ABEILLE  COCOS NUCIFERA (COCONUT) OIL  BUTYROSPERMUM PARKII (SHEA) BUTTER  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  FRAGRANCE (PARFUM)  COPERNICIA CERIFERA (CARNAUBA) WAX/CIRE DE CARNAUBA  FOENICULUM VULGARE (FENNEL) OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL  STEVIA REBAUDIANA LEAF/STEM EXTRACT  TOCOPHEROL  GLYCINE SOJA (SOYBEAN) OIL
5406,"Salt Range Himalayan Pink Salt Lip Balm, Kiwi Fruit Rating",Lip Balm,MINERAL OIL  PETROLATUM  BEESWAX  CERESIN  POLYISOBUTENE  TRIDECYL TRIMELLITATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  BUTYROSPERMUM PARKII (SHEA) BUTTER  POLYETHYLENE  MICROCRYSTALLINE WAX  CAPRYLYL METHICONE  TOCOPHERYL ACETATE  HYDROGENATED SOYBEAN OIL  OLEA EUROPAEA (OLIVE) HUSK OIL  TOCOPHEROL  MINERAL OIL  COCOS NUCIFERA (COCONUT) OIL  ALOE BARBADENSIS LEAF EXTRACT  MINERAL SALTS  PRUNUS AVIUM (SWEET CHERRY) SEED OIL  PARFUM
5407,"Fluffy Stuff Lip Balm, Cotton Candy Rating",Lip Balm,MINERAL OIL  BEESWAX  ETHYLHEXYL PALMITATE  CERESIN  HYDROGENATED POLYISOBUTENE  PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL  TOCOPHEROL  PHENOXYETHANOL  FRAGRANCE  NEOTAME  MAY CONTAIN: BLUE 1 LAKE
5408,Signature Care Advanced Hand Sanitizer Rating,Hand Sanitizer,Active Ingredients: Ethyl Alcohol 70.0%; Inactive Ingredients: WATER  GLYCERYL CAPRYLATE/CAPRATE  GLYCERIN  ISOPROPYL MYRISTATE  TOCOPHERYL ACETATE  ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER  FRAGRANCE  BENZOPHENONE-4
5409,"Kirk's 3-in-1 Head to Toe Nourishing Cleanser, Original Fresh Scent",Body Wash/Cleanser,Water  Cocamidopropyl Betaine  Sodium Cocoyl Isethionate  Cocos Nucifera (Coconut) Oil  Aloe Barbadensis Leaf Extract  Natural Fragrance  Tocopheryl Acetate  Glycerin  Sodium Hyaluronate  Guar Hydroxypropyltrimonium Chloride  Glyceryl Stearate SE  Benzyl Alcohol  Benzoic Acid  Sorbic Acid  Citric Acid  Sodium Chloride
5410,"Lume Deodorant Tube, Lavender Sage (old formulation) Rating",Antiperspirant/Deodorant,Water  Mandelic Acid  Maranta Arundinacea Root Extract  Tapioca Starch  Isoamyl Laurate  Sodium Acrylate/ Ioyldimethyltaurate/Dimethylacrylamide Crosspolymer  Caffeine  Caprylic/Capric Triglyceride  Cetyl Alcohol  Theobroama Cacao Seed Butter  Isohexadecane  Glyceryl Stearate  PEG-100 Stearate  Sodium Lactate  Panthenol  Phenoxyethanol  Xanthan Gum  Tocopherol  Polysorbate 60  Lavandula Angustifolia Oil  Salvia Sclarea Oil  Sclerotium Gum  Lecithin  Pullulan  Aloe Barbadensis Leaf Juice  Ethylhexylglycerin  Allantoin  Tetrasodium Glutamate Diacetate  Silica
5411,"AXE Deodorant, Urban Tobacco & Amber (2019 formulation) Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER (AQUA)  PROPYLENE GLYCOL  SODIUM STEARATE  C12-15 ALKYL BENZOATE  FRAGRANCE (PARFUM)  DISODIUM EDTA  BHT  SIMETHICONE.
5412,Sensodyne Toothpaste (2019 formulation) Rating,Toothpaste,Active Ingredients: STANNOUS FLUORIDE (0.15% W/V FLUORIDE ION) 0.454%; Inactive Ingredients: GLYCERIN  PEG-8  HYDRATED SILICA  PENTASODIUM TRIPHOSPHATE  SODIUM LAURYL SULFATE  FLAVOR  TITANIUM DIOXIDE  POLYACRYLIC ACID  COCAMIDOPROPYL BETAINE  SODIUM SACCHARIN
5413,"Vaseline Lip Therapy, Gold Dust (2019 formulation) Rating",Lip Balm,: PETROLATUM  FLAVOR (AROMA CALCIUM SODIUM BOROSILICATE SILICA  MICA (CI 77019). TITANIUM DIOXIDE (CI 77891)TIN OXIDE (CI 77861) IRON OXIDES (77489). RED 30 (CI 78260)
5414,"Colgate Total Anticavity, Antigingivitis and Anti Sensitivity Toothpaste,",Toothpaste,Active Ingredient: Stannous Fluoride 0.454%; INACTIVE INGREDIENTS: WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-12  TETRASODIUM PYROPHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  ZINC PHOSPHATE  CELLULOSE GUM  SODIUM CITRATE  MICROCRYSTALLINE CELLULOSE  SODIUM SACCHARIN  COCAMIDOPROPYL BETAINE  XANTHAN GUM  CITRIC ACID  SUCRALOSE  TITANIUM DIOXIDE.
5415,"O'keeffe's Healthy Feet Cream, Unscented Rating",Foot Moisturizer,WATER  GLYCERIN  STEARIC ACID  ISOPROPYL MYRISTATE  CETEARETH-20  CETYL ALCOHOL  CETEARYL ALCOHOL  ALUMINUM STARCH OCTENYLSUCCINATE  SODIUM HYDROXIDE  ACRYLATES/CIO-30 ALKYL ACRYLATE CROSSPOLYMER  PARAFFIN  ALLANTOIN  DIMETHICONE  PROPYLENE GLYCOL  IODOPROPYNYL BUTYLCARBAMATE  DIAZOLIDINYL UREA
5416,"Burt's Bees 100% Natural Moisturizing Lip Balm, Pink Grapefruit (2018",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  COCOS NUCIFERA (COCONUT) OIL  CERA ALBA (BEESWAX  CIRE D'ABEILLE)  RICINUS COMMUNIS (CASTOR) SEED OIL  AROMA (FLAVOR)*  LANOLIN  CITRUS PARADISI (GRAPEFRUIT) SEED OIL  ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT  TOCOPHEROL  AMMONIUM GLYCYRRHIZATE  CANOLA OIL (HUILE DE COLZA)  GLYCINE SOJA (SOYBEAN) OIL  CITRAL  LIMONENE
5417,"Cremo Anti Perspirant & Deodorant, Silver Water & Birch No. 10 Rating",Antiperspirant/Deodorant,Active Ingredients: Aluminum Zirconium Tetrachlorohydrex Glycine 19.0%; Inactive Ingredients: CYCLOPENTASILOXANE  STEARYL ALCOHOL  HYDROGENATED CASTOR OIL  FRAGRANCE (PARFUM)  SILICA  PEG-8 DILAURATE  ALUMINUM STARCH OCTENYLSUCCINATE
5418,"Colgate Maxclean Smartfoam Whitening Anticavity Fluoride Toothpaste,",Toothpaste,INACTIVE INGREDIENTS: WATER  SORBITOL  HYDRATED SILICA  PEG-12  POLOXAMER 407  SODIUM LAURYL SULFATE  FLAVOR  XANTHAN GUM  COCAMIDOPROPYL BETAINE  TETRASODIUM PYROPHOSPHATE  SODIUM SACCHARIN  METHYLCELLULOSE  MICA  TITANIUM DIOXIDE  FD&C BLUE NO. 1.
5419,"Colgate Total Whole Mouth Health Toothpaste, Clean Mint Rating",Toothpaste,Active Ingredients: Stannous Fluoride (0.15% w/v Fluoride Ion) 0.454%; Inactive Ingredients: INACTIVE INGREDIENTS: WATER  SORBITOL  HYDRATED SILICA  GLYCERIN  PEG-12  TETRASODIUM PYROPHOSPHATE  SODIUM LAURYL SULFATE  FLAVOR  ZINC PHOSPHATE  CELLULOSE GUM  SODIUM CITRATE  MICROCRYSTALLINE CELLULOSE  SODIUM SACCHARIN  COCAMIDOPROPYL BETAINE  PROPYLENE GLYCOL  XANTHAN GUM  CITRIC ACID  SUCRALOSE  TITANIUM DIOXIDE
5420,ChapStick Total Hydration Vitamin Enriched Lip Night Serum (2018,Lip Balm,PETROLATUM  BIS-DIGLYCERYL POLYACYLADIPATE-2  C12-15 ALKYL BENZOATE  HYDROGENATED MICROCRYSTALLINE WAX  C18-38 ALKYL HYDROXYSTEAROYL STEARATE  CAPRYLIC/CAPRIC TRIGLYCERIDE  LINUM USITATISSIMUM (LINSEED) SEED OIL  OENOTHERA BIENNIS (EVENING PRIMROSE) OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL  FLAVOR  TOCOPHEROL  ASCORBYL PALMITATE  TRIACETIN  PROPYLENE GLYCOL  GLYCINE SOJA (SOYBEAN) OIL  CITRIC ACID
5421,"B.fresh Nutty Bout Coconut Deodorant, Coconutty Vanilla Rating",Antiperspirant/Deodorant,CAPRYLIC/CAPRIC TRIGLYCERIDE  CANDELILLA CERA  ROSA DAMASCENA (ROSE) FLOWER EXTRACT  CITRUS BERGAMIA (BERGAMOT) LEAF OIL  ARGANIA SPINOSA (ARGAN) KERNEL EXTRACT  SODIUM STEARATE  ZINC RICINOLEATE  POLYGLYCERYL-3 CAPRATE  LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL  CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT  BUTYROSPERMUM PARKII (SHEA) BUTTER  HYDROGENATED PALM KERNEL OIL  CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL  ALLANTOIN  BEHENYL ALCOHOL  GLYCERYL STEARATE  SILICA  SODIUM BICARBONATE  SUCROSE COCOATE  TOCOPHERYL ACETATE  ZEA MAYS (CORN) STARCH  FRAGRANCE (PARFUM)
5422,Magnolia Home Gather Hand Wash (2020 formulation) Rating,Liquid Hand Soap,WATER (AQUA) (EAU)  COCAMIDOPROPYL HYDROXYSULTAINE  SODIUM METHYL 2-SULFOLAURATE  DISODIUM 2-SULFOLAURATE  GLYCERIN  FRAGRANCE (PARFUM)  ALOE BARBADENSIS LEAF JUICE  OLEA EUROPA (OLIVE) FRUIT OIL  SODIUM CHLORIDE  SODIUM BENZOATE  POTASSIUM SORBATE  TETRASODIUM GLUTAMATE DIACETATE  CITRIC ACID
5423,"Secret Deodorant, Lavender Rating",Antiperspirant/Deodorant,CYCLOPENTASILOXANE  STEARYL ALCOHOL  MAGNESIUM HYDROXIDE  MINERAL OIL  PPG-14 BUTYL ETHER  HYDROGENATED CASTOR OIL  FRAGRANCE  PETROLATUM  CYCLODEXTRIN  MAGNESIUM CARBONATE  CORN STARCH/MALTODEXTRIN CROSSPOLYMER  PIROCTONE OLAMINE  BEHENYL ALCOHOL
5424,"Dove Vitamincare+ Deodorant, Cucumber & Melon Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER (AQUA)  GLYCERIN  PROPYLENE GLYCOL  SODIUM STEARATE  NIACINAMIDE  POLOXAMINE 1307  FRAGRANCE  STEARIC ACID  STEARYL ALCOHOL  DISODIUM EDTA  TOCOPHERYL ACETATE  SIMETHICONE  ALPHA-ISOMETHYL IONONE  BENZYL ALCOHOL  BENZYL BENZOATE  CITRONELLOL  COUMARIN  GERANIOL  HEXYL CINNAMAL  LIMONENE  LINALOOL
5425,Catrice Cosmetics Lip Treatment (2019 formulation) Rating,Lip Balm,BUTYROSPERMUM PARKII (SHEA BUTTER)  OLUS OIL (VEGETABLE OIL)  CERA ALBA (BEESWAX)  GLYCERIN  LECITHIN  TOCOPHEROL  DECYLENE GLYCOL  ETHYL VANILLIN  ASCORBYL PALMITATE  CITRIC ACID  AROMA (FLAVOR).
5426,"Il Makiage, Infinity Long-Wear Matte Lip Cream Matte Danger Rating",Lip Balm,Isododecane  Mica  Dimethicone  Trimethylsiloxysilicate  Polybutene  Petrolatum  Cyclohexasiloxane  Kaolin  Disteardimonium hectorite  Bees wax (cera alba)  Silica dimethyl silylate  Glyceryl behenate/eicosadioate  Propylene glycol (carbonate in package)  Silica  Tocopherol  Tin oxide  Cyclopentasiloxane (flavor aroma)  Benzyl alcohol  Persea gratissima (avocado oil)May contain: Titanium dioxide (CI 77891)  Red 7 lake (ci 15850)  Red 28 lake (ci 45410)  Iron oxides (ci 77491)  Red 6 (ci 15850)  Red 21 lake (ci 45380)  Iron oxides (ci 77492)  Yellow 5 lake (ci 19140)  Iron oxides (ci 77499)  Blue 1 lake (ci 42090)  Carmine (ci 75470)  Yellow 6 lake (ci 15985.
5427,"Tom's of Maine Natural Children's Toothpaste, Strawberry Silly (2019",Toothpaste,Active Ingredients: SODIUM FLUORIDE (0.02% W/V FLUORIDE ION) 0.04%; Inactive Ingredients: WATER  GLYCERIN  ALOE BARBADENSIS LEAF JUICE*  XYLITOL  SODIUM PHOSPHATE  PROPANEDIOL  BENZOIC ACID  NATURAL FLAVOR  PHOSPHORIC ACID  MENTHOL  FRAGARIA ANANASSA (STRAWBERRY) FRUIT JUICE  ANANAS SATIVUS (PINEAPPLE) FRUIT JUICE  CITRUS AURANTIUM DULCIS (ORANGE) JUICE  CITRUS LIMON (LEMON) JUICE  MANGIFERA INDICA (MANGO) JUICE  REBAUDIOSIDE A
5428,"My Beauty Spot Antibacterial Hand Wash, Sage Rating",Liquid Hand Soap,Active Ingredients: BENZALKONIUM CHLORIDE 0.15%; Inactive Ingredients: WATER (AQUA)  COCAMIDOPNOPYL BETAINE  COCAMIDOPROPYLAMINE OXIDE  HYDROXYETHYLCELLULOSE  FRAGRANCE (PARFUM)  PHENOXYETHANOL  ALCOHOL  GLYCOL DISTEARATE  BENZALKONIUM CHLORIDE  GLYCERIN  CITRIC ACID  TOCOPHERYL ACETATE (VITAMIN E)  SALVIA OFFICINALIS (SAGE) OIL. 
5429,"
		EWG rating for Banana Boat Ultra Sport Sunscreen Lip Balm, Spf 40 |
		EWG's Guide to Sunscreens	",lip balms with SPF,Active Ingredients: Avobenzone 3.0%  Homosalate 10.0%  Octisalate 5.0%  Octocrylene 10.0%; Inactive Ingredients: OZOKERITE  CAPRYLIC/CAPRIC TRIGLYCERIDE  PETROLATUM  ETHYLHEXYL PALMITATE  ORYZA SATIVA (RICE) BRAN WAX  VP/EICOSENE COPOLYMER  PEG-8  FLAVOR  SODIUM SACCHARIN  TOCOPHERYL ACETATE  COCOS NUCIFERA (COCONUT) OIL  MINERAL OIL  ALOE BARBADENSIS LEAF EXTRACT
5430,"Orajel, Antiseptic Mouth Sore Rinse, Mint Rating",Mouthwash,Active Ingredients: Hydrogen peroxide 1.5%  Menthol 0.1%; Inactive Ingredients: ALCOHOL (4.1% BY VOLUME)  BLUE 1  DISODIUM EDTA  METHYL SALICYLATE  PHOSPHORIC ACID  POLOXAMER 338  POLYSORBATE 20  SODIUM SACCHARIN  SORBITOL  WATER
5431,Triderma Radia Soothe Cbd 500 Mg Extra Comfort Cream (2020 formulation),Muscle/Joint Soreness,WATER  CETEARYL ALCOHOL  ISOPROPYL PALMITATE  POLYSORBATE 60  CERA ALBA (BEESWAX)  DIMETHICONE  ALLANTOIN  ALOE BARBADENSIS (ALOE) LEAF JUICE*  ZINC PCA  AVENA SATIVA (OAT) KERNEL FLOUR  CANNABIS SATIVA (HEMP) EXTRACT  BUTYROSPERMUM PARKII (SHEA BUTTER)  CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL  TOCOPHERYL ACETATE (VITAMIN E)  PANTHENOL (PRO-VITAMIN B5)  CETYL ALCOHOL  SODIUM PCA  SODIUM PHYTATE  SODIUM HYDROXIDE  PHENOXYETHANOL  ETHYLHEXYLGLYCERIN
5432,Mrs. Meyer's Plum Berry Hand Soap Refill Rating,Liquid Hand Soap,WATER  COCAMIDOPROPYL HYDROXYSULTAINE  SODIUM METHYL 2-SULFOLAURATE  GLYCERIN  CITRUS LIMON (LEMON) PEEL OIL  FRAGRANCE  (HEXYL CINNAMAL)  RUBUS FRUTICOSUS (BLACKBERRY) FRUIT EXTRACT  OLEA EUROPAEA (OLIVE) FRUIT OIL  ALOE BARBADENSIS LEAF JUICE  CITRIC ACID  SODIUM CHLORIDE  POTASSIUM SORBATE  SODIUM BENZOATE
5433,"Kid's Crest Anticavity Fluoride Rinse, Strawberry Rush (2019 formulation)",Mouthwash,Active Ingredients: Sodium Fluoride (0.01% W/V Fluoride Ion) 0.02%; Inactive Ingredients: WATER  PROPYLENE GLYCOL  POLYSORBATE 80  BENZOIC ACID  FLAVOR  SUCRALOSE  SODIUM BENZOATE  PHOSPHORIC ACID  DISODIUM PHOSPHATE  RED 33
5434,"Dove 0% aluminum Deodorant, Lavender & Vanilla (2020 formulation) Rating",Antiperspirant/Deodorant,DIPROPYLENE GLYCOL  WATER (EAU)  GLYCERIN  PROPYLENE GLYCOL  SODIUM STEARATE  POLOXAMINE 1307  FRAGRANCE (PARFUM)  STEARIC ACID  DISODIUM EDTA  SIMETHICONE  BHT
5435,"ChapStick Total Hydration Lip Color, House Red (2018 formulation) Rating",Lip Balm,HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL  JOJOBA ESTERS  EUPHORBIA CERIFERA (CANDELILLA) WAX  COCOS NUCIFERA (COCONUT) OIL  BEESWAX  CAPRYLIC/CAPRIC TRIGLYCERIDE  RICINUS COMMUNIS (CASTOR) SEED OIL  COPERNICIA CERIFERA (CARNAUBA) WAX  TOCOPHERYL ACETATE  MANGIFERA INDICA (MANGO) SEED BUTTER  BUTYROSPERMUM PARKII (SHEA) BUTTER  RED 7 LAKE  OCTYLDODECANOL  PERSEA GRATISSIMA (AVOCADO) OIL  OLEA EUROPAEA (OLIVE) FRUIT OIL  IRON OXIDES  TRIACETIN  FLAVOR  TOCOPHEROL  HYDROGENATED SOYBEAN OIL  PASSIFLORA EDULIS SEED OIL (MARACUJA)  SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL  RUBUS IDAEUS (RASPBERRY) SEED OIL  GLYCERYL STEARATE  ISOPROPYL TITANIUM TRIISOSTEARATE
5436,"PiperWai Activated Charcoal Deodorant Cream, Essential Oils Scent (old",Antiperspirant/Deodorant,Tapioca Starch  Cocos Nucifera (Coconut) Oil  Water  Butyrospermum Parkii (Shea) Butter  Sodium Bicarbonate  Rosa Centifolia Flower Water  Hamamelis Virginiana (Witch Hazel) Extract  Theobroma Cacao (Cocoa) Seed Butter  Tocopheryl Acetate  Lonicera Caprifolium (Honeysuckle) Flower Extract  Lonicera Japonica (Honeysuckle) Flower Extract  Magnesium Hydroxide  Activated Charcoal  Essential Oils*: Mentha Piperita (Peppermint) Oil  Eucalyptus Radiata Leaf/Stem Oil  Citrus Reticulata (Tangerine) Leaf Oil  Citrus Aurantium Bergamia (Bergamot) Peel Oil  Salvia Sclarea (Clary) Oil  Cymbopogon Citratus (Lemongrass) Leaf Oil  Melaleuca Alternifolia (Tea Tree) Leaf Oil  Thymus Vulgaris (Thyme) Oil  Eugenia Caryophyllus (Clove) Leaf Oil  Lavandula Angustifolia (Lavender) Oil  Rosmarinus Officinalis (Rosemary) Leaf Oil.
5437,"Auromere Ayurvedic Toothpaste, Classic (Licorice) Rating",Toothpaste,Fine Chalk (a gentle cleanser)  Glycerine (from vegetable oil)  Water  Herbal extract blend: [Peelu (Salvadora persica)  Neem (Azadirachta indica)  Indian Licorice root  Pomegranate rind  Common Jujube  Rose Apple  Clove  Persian Walnut  Barleria prionitis bark (Vajradanti)  Indian Almond  Bedda nut  Asian Holly Oak  Prickly Ash  Zanthoxylum alatum  Sappan wood  Catechu  Bengal Madder  Acacia arabica bark (Babul)  Sarsaparilla  Cinnamon  Medlar bark  Mayweed  Bishop s weed (flower extract)]  Silica  Sodium Coco Sulfate (from Indian coconut oil)  Chondrus crispus (seaweed extract)  Cellulose (plant) gum  Clove oil  Peppermint oil  Spearmint oil  Eucalyptus oil  Menthol  Thymol  Anethol  Geranium extract  Potassium Sorbate (Potassium salt)  p Thymol (from Thyme oil)
5438,Chapstick Holiday Tree Lip Balm Rating,Lip Balm,petrolatum  paraffin  mineral oil  octyldodecanol  bis-diglyceryl polyacyladipate-2 flavor  arachidyl propionate  phenyl trimethicone  beeswax  copernicia cerifera (carnauba) wax  isopropyl myristate  Cetyl alcohol  titanium dioxide  synthetic wax  saccharin  canola oil  isopropyl titanium triisostearate
5439,"Tower 28 Beauty JuiceBalm Tinted Lip Balm, Squeeze Rating",Lip Balm,WATER/AQUA/EAU  COPERNICIA CERIFERA (CARNAUBA) WAX/CERA CARNAUBA/CIRE DE CARNAUBA  GLYCERYL STEARATE  HYDROGENATED OLIVE OIL STEARYL ESTERS  SYNTHETIC WAX  VP/VA COPOLYMER  STEARIC ACID  HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX  PALMITIC ACID  BUTYLENE GLYCOL  OLEA EUROPAEA (OLIVE) OIL UNSAPONIFIABLES  AMINOMETHYL PROPANOL  RICINUS COMMUNIS (CASTOR) SEED OIL  1 2-HEXANEDIOL  CAPRYLYL GLYCOL  POLYIMIDE-1  GALACTOARABINAN  RHUS SUCCEDANEA FRUIT WAX  SHOREA ROBUSTA RESIN  SODIUM DEHYDROACETATE  LECITHIN  TOCOPHEROL  ASCORBYL PALMITATE  CITRIC ACID  IRON OXIDES (CI 77499)  ULTRAMARINES (CI 77007)
5440,"Salt & Stone Deodorant, Santal & Vetiver Rating",Antiperspirant/Deodorant,*Propylene Glycol (BIOBASED)  *Sodium Stearate  Water  **Alcohol Denat  *Aloe Barbadensis Leaf Juice  *Saccharomyces Ferment Filtrate  *Natural Fragrance  *Propanediol  *Polyglyceryl-4 Caprate  *Polyglyceryl-6 Caprylate  *Glycerin  *Manihot Esculenta (Arrowroot) Powder  *Zea Mays (Corn) Starch  **Silica Cetyl Silylate  *Chamomila Recutita (Matricaria) Flower Extract  *Royal Jelly Extract  *Butyrospermum Parkii (Shea) Butter  *Simmondsia Chinensis (Jojoba) Seed Oil  *Sodium Hyaluronate  *Calendula Officinalis Flower Extract  *Citrus Limon (Lemon) Peel Extract  *Humulus Lupulus (Hops) Extract  *Panax Quinquefolium Root Extract  *Leuconostoc/Radish Root Ferment Filtrate.
5441,"Babaria Wild Rose, Deo Roll On Rating",Antiperspirant/Deodorant,AQUA (WATER)  ALUMINUM CHLOROHYDRATE  STEARETH-2  PPG-15 STEARYL ETHER  ROSA MOSCHATA SEED OIL  TOCOPHERYL ACETATE  STEARETH-21  PARFUM (FRAGRANCE)  PHENOXYETHANOL  FAMESOL  DEHYDROACETIC ACID  BENZOIC ACID  SORBIC ACID  BHT.
5442,"South of France Foaming Hand Wash, Orange Blossom Honey (2019",Liquid Hand Soap,: WATER  POTASSIUM COCOATE  GLYCERIN  FRAGRANCE (PARFUM)  CERA ALBA (BEESWAX)  CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL  AGAVE TEQUILANA LEAF EXTRACT  ALOE BARBADENSIS LEAF JUICE  POTASSIUM OLIVATE  TOCOPHERYL ACETATE  CITRIC ACID  MALT EXTRACT
5443,"Skin&Co Hand Sanitizer, Umbrian Truffle Rating",Hand Sanitizer,ACTIVE INGREDIENT: ALCOHOL 70% INACTIVE INGREDIENTS: AQUA (WATER)  CARBOMER  CITRUS AURANTIUM AMARA (BITTER ORANGE) FLOWER EXTRACT*  CITRUS AURANTIUM DULCIS (ORANGE) FLOWER EXTRACT*  GLYCERIN  PARFUM (FRAGRANCE)  TUBER MELANOSPORUM EXTRACT  HAMAMELIS VIRGINIANA (WITCH HAZEL) LEAF EXTRACT*  CALENDULA OFFICINALIS FLOWER EXTRACT  CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT*  SODIUM HYDROXIDE  COUMARIN  LINALOOL.
5444,"Crest Fluoride Toothpaste for Anticavity, Antigingivitis and Sensitive",Toothpaste,GLYCERIN  HYDRATED SILICA  SODIUM HEXAMETAPHOSPHATE  PROPYLENE GLYCOL  PEG-6  WATER  ZINC LACTATE  TRISODIUM PHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  SODIUM GLUCONATE  CARRAGEENAN  SODIUM SACCHARIN  XANTHAN GUM  MICA  TITANIUM DIOXIDE  BLUE 1
5445,Crest Pro-Health Whitening Fresh Clean Mint Fluoride Toothpaste (2019,Toothpaste,active ingredients: Stannous Fluoride (0.16% W/V Fluoride Ion) 0.454%; inactive ingredients: GLYCERIN  HYDRATED SILICA  SODIUM HEXAMETAPHOSPHATE  PROPYLENE GLYCOL  PEG-6  WATER  ZINC LACTATE  TRISODIUM PHOSPHATE  FLAVOR  SODIUM LAURYL SULFATE  SODIUM GLUCONATE  CARRAGEENAN  SODIUM SACCHARIN  POLYETHYLENE  XANTHAN GUM  MICA  TITANIUM DIOXIDE  BLUE 1
